Source,Production_Consumption,Continent,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Coal,Production,Africa,        Algeria,7.59E-05,0.000240414,0.000404907,0.0005694,0.000575727,0.000582054,0.000278374,0.000240414,0.000253067,0.00022776,0.000272047,0.000316334,0.000379601,0.000506134,0.000582054,0.000556748,0.000303681,0.000278374,0.000139187,2.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Botswana,0.008262057,0.008484744,0.009241913,0.008796519,0.00875198,0.009731845,0.010912138,0.010845329,0.013562228,0.01476479,0.017682117,0.01745942,0.020064972,0.019820005,0.020064972,0.020265399,0.016212319,0.017281263,0.020577174,0.016011892,0.020933489,0.020376747,0.021222994,0.018327937,0.020287668,0.021935624,0.021423421,0.018439286,0.020265399,0.016435016,0.022002433,0.017548499,0.032758683,0.033315425,0.038212317,0.046534212,0.04192044,0.049608123,0.048393175,0.047178203,0.041939121,0.044340069
Coal,Production,Africa,        Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Congo-Brazzaville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Congo-Kinshasa,0.003552243,0.003603617,0.003166008,0.002908674,0.003114635,0.002797987,0.003063261,0.003140321,0.003166104,0.003217586,0.003243327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Côte d’Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000813226,0.001209413,0.001049548,0.000889683,0.000788899,0.000688114,0.000701784,0.000643299,0.000584814,0.00052633,0.000682121,0.000792374,0.000755165,0.000437891,6.60E-05,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Eswatini,0.004143529,0.003861016,0.00313119,0.002401364,0.002942848,0.003908102,0.004049358,0.003884559,0.003437246,0.003602043,0.00376684,0.002895758,0.002330732,0.001318394,0.004096439,0.004049353,0.003037015,0.004935721,0.008032328,0.008489287,0.008946246,0.007415967,0.009982127,0.010562785,0.011496255,0.010617781,0.010452982,0.010876751,0.010594238,0.006986753,0.003379269,0.003295985,0.003527059,0.002989929,0.003122946,0.003040216,0.003729172,0.004061244,0.003037015,0.002587348,0.002544977,0.002723802
Coal,Production,Africa,        Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,"        Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Malawi,0,0,0,0.000249376,0.000274313,0.00071072,0.000773064,0.00079956,0.001147127,0.00132169,0.001249994,0.001271814,0.001296752,0.001296752,0.001271814,0.001221939,0.001321689,0.001371565,0.00142144,0.00157705,0.001962584,0.001204483,0.001568571,0.002029916,0.001291764,0.001294258,0.001506227,0.00146134,0.001511215,0.001471315,0.001970065,0.00192019,0.001770565,0.001670815,0.001588521,0.001466327,0.001079795,0.001496252,0.001241889,0.001208722,0.001175556,0.001280605
Coal,Production,Africa,        Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Morocco,0.017208547,0.017790601,0.018600415,0.019005322,0.021207004,0.019612682,0.019612682,0.01604444,0.016095053,0.01275457,0.013311317,0.013943985,0.014576652,0.015285239,0.016449347,0.016449347,0.012805184,0.009515314,0.006807499,0.003264563,0.000784507,0.000740221,0.000695934,0.000651647,0.00060736,0.00030368,0.000172929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000575316,0.00054655,0.000517784,0.000604081,0.00069039,0.000827401,0.000864666,0.000913166,0.000892801,0.000881111,0.000792625,0.000685573,0.00104078,0.001557433,0.002002507,0.017136153,0.124287072,0.165022786,0.173204058,0.180930748,0.19833123,0.384192996,0.404123193,0.276770371,0.187149129,0.26777898
Coal,Production,Africa,        Namibia,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Niger,0.000404863,0.000607294,0.000910942,0.002631609,0.003036472,0.003056715,0.00251015,0.003319876,0.003137688,0.003461578,0.003115801,0.003168899,0.002702963,0.003164202,0.003167502,0.003460987,0.003684694,0.00329639,0.003668317,0.003410278,0.003202462,0.003305702,0.003702467,0.003823926,0.004789199,0.003685463,0.003569267,0.003467647,0.003702467,0.003864412,0.004809766,0.00534216,0.005078999,0.004896811,0.005534571,0.004947804,0.005384129,0.005293258,0.005088797,0.005134233,0.005611308,0.005634025
Coal,Production,Africa,        Nigeria,0.003045561,0.00298592,0.002926279,0.002866637,0.002806996,0.002747355,0.002687714,0.003015753,0.002110736,0.002162218,0.002316662,0.001979925,0.001820361,0.000720739,0.000643517,0.000567606,0.000437592,0.000361025,0.000308888,0.000202887,7.15E-05,0.000592036,0.000588336,0.000592036,0.000797904,0.000964223,0.00077813,0.000592036,0.000702978,0.000991325,0.001045381,0.00100938,0.000955829,0.00113259,0.001171201,0.001209812,0.001184072,0.001319082,0.0012424,0.001405776,0.00113733,0.001255696
Coal,Production,Africa,        Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        South Africa,2.525071319,2.803132731,3.037634017,3.193436732,3.573197661,3.806132718,3.876251425,3.873667499,3.979072464,3.867349157,3.770739453,3.819686554,3.752487001,3.915138067,4.176562947,4.388926427,4.41381951,4.643591962,4.748664356,4.72295753,4.929281338,4.898169393,4.825360161,5.244126042,5.322475139,5.369061899,5.361512612,5.427330045,5.536253095,5.483117742,5.579088009,5.647405643,5.668575422,5.621080838,5.72743234,5.628899957,5.594413708,5.621366311,5.576496358,5.62354432,5.394764811,4.980221514
Coal,Production,Africa,        South Sudan,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Tanzania,0,0,0,0,0,0,0,0,0,7.08E-05,0.000176967,0.000283148,0.000566295,0.00113259,0.001184072,0.00113259,0.001467219,0.000720739,0.001158331,0.001930552,0.002038251,0.002002342,0.00203892,0.001405699,0.0016742,0.000792684,0.000461788,0.000700095,0.00039234,0.001388813,0.001733172,0.002077531,0.002025071,0.00218209,0.006332209,0.006615357,0.00710443,0.014389044,0.016165151,0.01833087,0.017760019,0.019429703
Coal,Production,Africa,        Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Africa,        Zambia,0.013940888,0.012427446,0.014806026,0.011089936,0.012572891,0.01248248,0.013500519,0.011320486,0.012802536,0.010036715,0.011156783,0.012276852,0.012656342,0.015236841,0.01316898,0.007394838,0.006399145,0.006696465,0.007990625,0.007080283,0.005553738,0.005654369,0.004807397,0.004901647,0.0051678,0.003667286,0.001564709,0.00034228,8.56E-05,0,0,0,0.002200372,0.003647753,0.003893296,0.004021876,0.008067354,0.01962605,0.028916971,0.024538215,0.027465956,0.027085088
Coal,Production,Africa,        Zimbabwe,0.06838806,0.0611243,0.064064393,0.064558527,0.067152727,0.076689501,0.088622823,0.120148532,0.115824865,0.118394359,0.13598534,0.138752483,0.137072432,0.130574586,0.135120607,0.114712924,0.108980984,0.098950088,0.102853737,0.114292911,0.108709211,0.102409018,0.097887703,0.087708568,0.080074216,0.089487446,0.086399116,0.083261373,0.062730156,0.041193379,0.061771538,0.063300879,0.0393725,0.076941414,0.142764675,0.107103684,0.066715196,0.072282824,0.082639062,0.064852495,0.066800888,0.079965855
Coal,Production,Asia & Oceania,        Afghanistan,0.002355286,0.00247404,0.002869886,0.002869886,0.002929263,0.00298864,0.003166771,0.003305317,0.00273134,0.002513624,0.002078193,0.001860478,0.000158339,0.000138546,0.000118754,9.90E-05,5.94E-05,3.96E-05,3.96E-05,1.98E-05,1.98E-05,0.0005146,0.000415639,0.000692731,0.000672939,0.000653146,0.000692731,0.004809533,0.006867934,0.009896159,0.014349431,0.029292594,0.024542444,0.026660219,0.030032826,0.027016481,0.033607314,0.043364915,0.048392158,0.042335716,0.001128161,0.03195941
Coal,Production,Asia & Oceania,        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Australia,2.374452858,2.699360224,2.733467786,3.041359368,3.244336768,3.497189795,3.765758866,4.247154444,3.917605372,4.17786462,4.388971136,4.724193839,4.915326354,4.925553313,4.86792392,5.248519105,5.337422237,5.705907468,6.144159356,6.228669732,6.627498469,7.170442351,7.409520894,7.393844208,7.612751574,8.10722671,8.200640474,8.647165318,8.693196849,9.000658537,9.954671594,9.471213342,9.930930249,10.7738122,11.58072908,12.09463795,11.81982682,11.80927495,11.59034777,12.16039616,11.88807402,11.06245749
Coal,Production,Asia & Oceania,        Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466036,0.001348816,0.003716265,0.006326001,0.008100622,0.014134333,0.017286895,0.014718914,0.013925554,0.01743304,0.017850598,0.019771364,0.014113455,0.021337206,0.024239233,0.019270294,0.019548666,0.021211938,0.021951944
